,id,food_entity,disease_entity,sentence,disease_doid,is_cause,is_treat,work_sentence
457,457,cheese,cvd,"in subgroup analysis, cheese and yogurt consumptions were associated with decreased cvd risk (or = 0.87, 95% ci = 0.80-0.94 for cheese and or",,0.0,1.0,"in subgroup analysis, cheese and yogurt consumptions were associated with decreased cvd risk (or = 0.87, 95% ci = 0.80-0.94 for cheese and or"
458,458,diet,hyperuricemia,the association of overall diet quality with hyperuricemia remains unclear,DOID:1920,0.0,0.0,the association of overall diet quality with hyperuricemia remains unclear
459,459,garlic,ailments,"garlic (allium sativum) is a popular spice, a remedy for a variety of ailments and is also known for",,0.0,1.0,"garlic (allium sativum) is a popular spice, a remedy for a variety of ailments and is also known for"
460,460,wheat flour,baker's asthma,sensitization to wheat flour plays an important role in the development and diagnosis of baker's asthma,,1.0,0.0,sensitization to wheat flour plays an important role in the development and diagnosis of baker's asthma
461,461,cocoa,diabetic,animal studies suggest that cocoa might reduce the risk of diabetic complications,,0.0,1.0,animal studies suggest that cocoa might reduce the risk of diabetic complications
462,462,salt,diet- associated health diseases,"fat (particularly saturated fat), salt and sugars have shown to be associated with innumerable incidence of diet- associated health diseases",,1.0,0.0,"fat (particularly saturated fat), salt and sugars have shown to be associated with innumerable incidence of diet- associated health diseases"
463,463,hydrolyzed wheat products,allergy,are several reports describing allergy to hydrolyzed wheat products,,1.0,0.0,are several reports describing allergy to hydrolyzed wheat products
464,464,chicken respiratory tract,infectious bronchitis,infectious bronchitis (ib) is a viral infection of the chicken respiratory tract that causes substantial economic burden,,0.0,0.0,infectious bronchitis (ib) is a viral infection of the chicken respiratory tract that causes substantial economic burden
465,465,fish oil,myxomatous mitral valve disease,"including medium chain triglycerides, fish oil and other key nutrients was developed to slow the progression of canine myxomatous mitral valve disease (mmvd",,0.0,1.0,"including medium chain triglycerides, fish oil and other key nutrients was developed to slow the progression of canine myxomatous mitral valve disease (mmvd"
466,466,turkey red blood cells,hemolytic,produced siderophore and were hemolytic on turkey red blood cells,,0.0,0.0,produced siderophore and were hemolytic on turkey red blood cells
467,467,wheat,allergic reaction,"wheat is a food allergen that occasionally causes a systemic allergic reaction; however, little is known about the quantities of wheat allergen required to evoke allergic",,1.0,0.0,"wheat is a food allergen that occasionally causes a systemic allergic reaction; however, little is known about the quantities of wheat allergen required to evoke allergic"
468,468,salt,hypertension,"excessive salt intake is an important risk factor of diseases such as hypertension, stroke, and stomach cancer",DOID:10763,1.0,0.0,"excessive salt intake is an important risk factor of diseases such as hypertension, stroke, and stomach cancer"
469,469,ketogenic diet,seizures,the ketogenic diet is an effective alternative therapy used to control intractable seizures,,0.0,1.0,the ketogenic diet is an effective alternative therapy used to control intractable seizures
470,470,oil tea,ailments,oil tea has traditionally been used in minority populations in china for treating various ailments in traditional chinese medicine,,0.0,1.0,oil tea has traditionally been used in minority populations in china for treating various ailments in traditional chinese medicine
471,471,beverages,acute renal disorders,water intake (twi = water + beverages + food moisture) with acute renal disorders such as kidney stones and,,0.0,0.0,water intake (twi = water + beverages + food moisture) with acute renal disorders such as kidney stones and
472,472,rice milk,hypoalbuminemia,"several cases of severe hypoalbuminemia resulting from rice milk have been described in the past, today the use of rice milk without nutritional counseling to treat",,1.0,0.0,"several cases of severe hypoalbuminemia resulting from rice milk have been described in the past, today the use of rice milk without nutritional counseling to treat"
473,473,soy foods,cardiometabolic disease,"consumption of soy foods has been associated with protection against cardiometabolic disease, but the mechanisms are incompletely",,0.0,1.0,"consumption of soy foods has been associated with protection against cardiometabolic disease, but the mechanisms are incompletely"
474,474,sesame oil,joints pain,sesame oil is an herbal product that has been used to treat the joints pain in several traditional medicines,,0.0,1.0,sesame oil is an herbal product that has been used to treat the joints pain in several traditional medicines
475,475,lamb,asthma,"in china, lamb and fish are well-known triggers for an asthma attack",DOID:2841,1.0,0.0,"in china, lamb and fish are well-known triggers for an asthma attack"
476,476,red meat,atherosclerosis,"also suggested carnitine from red meat, as a precursor for trimethylamine-n-oxide, which has been shown to cause atherosclerosis, may increase the risk of",DOID:1936,1.0,0.0,"also suggested carnitine from red meat, as a precursor for trimethylamine-n-oxide, which has been shown to cause atherosclerosis, may increase the risk of"
477,477,watermelon,systolic blood pressure,"consumption of watermelon has been associated with beneficial effects on metabolism, including reductions in systolic blood pressure, improved fasting blood glucose levels",,0.0,1.0,"consumption of watermelon has been associated with beneficial effects on metabolism, including reductions in systolic blood pressure, improved fasting blood glucose levels"
478,478,garlic,colorectal cancer,garlic and its constituents are reported to have a preventive effect against colorectal cancer in animal models,DOID:9256,0.0,1.0,garlic and its constituents are reported to have a preventive effect against colorectal cancer in animal models
479,479,wheat flour,allergy,occupational allergy to components of wheat flour is the main cause of,,1.0,0.0,occupational allergy to components of wheat flour is the main cause of
480,480,flour dust,developing rheumatoid arthritis,"animal, paper, textile and flour dust and the risk of developing rheumatoid arthritis (ra",,0.0,0.0,"animal, paper, textile and flour dust and the risk of developing rheumatoid arthritis (ra"
481,481,walnuts,cardiovascular disease,"nuts, specifically peanuts and walnuts, and cardiovascular disease remain unclear",,0.0,0.0,"nuts, specifically peanuts and walnuts, and cardiovascular disease remain unclear"
482,482,oregano oil,hepatitis c,"oregano oil was found to specifically inhibit lentiviruses, such as human and simian immunodeficiency viruses (hiv and siv), irrespective of virus tropism, but not hepatitis c virus, adenovirus (adv5), zika virus",,0.0,0.0,"oregano oil was found to specifically inhibit lentiviruses, such as human and simian immunodeficiency viruses (hiv and siv), irrespective of virus tropism, but not hepatitis c virus, adenovirus (adv5), zika virus"
483,483,fruit,cardiovascular disease,fruit and vegetable intake has been associated with a reduced risk of cardiovascular disease,,0.0,1.0,fruit and vegetable intake has been associated with a reduced risk of cardiovascular disease
484,484,fruits,nephrolithiasis,"dash), a low-sodium and fruits/vegetables-rich diet, has been associated with a lower risk of nephrolithiasis, due to altered urinary biochemistry",DOID:585,0.0,1.0,"dash), a low-sodium and fruits/vegetables-rich diet, has been associated with a lower risk of nephrolithiasis, due to altered urinary biochemistry"
485,485,butter flavoring vapors,bronchiolitis obliterans,"in 2000, inhalation of butter flavoring vapors was first associated with clinical bronchiolitis obliterans among workers in microwave popcorn",DOID:2799,1.0,0.0,"in 2000, inhalation of butter flavoring vapors was first associated with clinical bronchiolitis obliterans among workers in microwave popcorn"
486,486,coffee beans,ad,"in addition, eicosanoyl-5-hydroxytryptamide (eht), a naturally occurring component from coffee beans that modulates pp2a methylation, was shown to confer therapeutic benefits in rodent models of ad and parkinson's disease",,0.0,1.0,"in addition, eicosanoyl-5-hydroxytryptamide (eht), a naturally occurring component from coffee beans that modulates pp2a methylation, was shown to confer therapeutic benefits in rodent models of ad and parkinson's disease"
487,487,folic acid,neural tube defects,"of adequate amounts of folic acid by women before pregnancy and during early pregnancy decreases their risk for having a pregnancy affected by neural tube defects (ntds), the most common preventable",DOID:0080074,0.0,1.0,"of adequate amounts of folic acid by women before pregnancy and during early pregnancy decreases their risk for having a pregnancy affected by neural tube defects (ntds), the most common preventable"
488,488,mediet,inflammation,"that consumption of the mediet reduces the incidence of certain pathologies related to oxidative stress, chronic inflammation and immune system diseases such",,0.0,1.0,"that consumption of the mediet reduces the incidence of certain pathologies related to oxidative stress, chronic inflammation and immune system diseases such"
489,489,processed meat,type diabetes,substitutions for red and processed meat on the risk of type diabetes,DOID:9352,0.0,0.0,substitutions for red and processed meat on the risk of type diabetes
490,490,extra virgin olive oil,alzheimer's disease,"consumption of extra virgin olive oil (evoo), a major component of the mediterranean diet, has been associated with reduced incidence of alzheimer's disease (ad",DOID:10652,0.0,1.0,"consumption of extra virgin olive oil (evoo), a major component of the mediterranean diet, has been associated with reduced incidence of alzheimer's disease (ad"
491,491,saffron,asthma,saffron has anti-inflammatory effects and may has beneficial effects on asthma,DOID:2841,0.0,1.0,saffron has anti-inflammatory effects and may has beneficial effects on asthma
492,492,fruit drinks,asthma,"hfcs-sweetened soda, fruit drinks and apple juice - a high-fructose % juice - are associated with asthma, possibly because of the high fructose:glucose ratios and underlying fructose malabsorption, which may contribute to enteral formation of pro-inflammatory advanced glycation end products, which bind receptors that are mediators of asthma",DOID:2841,1.0,0.0,"hfcs-sweetened soda, fruit drinks and apple juice - a high-fructose % juice - are associated with asthma, possibly because of the high fructose:glucose ratios and underlying fructose malabsorption, which may contribute to enteral formation of pro-inflammatory advanced glycation end products, which bind receptors that are mediators of asthma"
493,493,fruit,cognitive decline,"epidemiological evidence available on fruit and vegetable consumption and cognition generally supported a protective role of these macronutrients against cognitive decline, dementia, and ad",,0.0,1.0,"epidemiological evidence available on fruit and vegetable consumption and cognition generally supported a protective role of these macronutrients against cognitive decline, dementia, and ad"
494,494,inadequate diet,bmd,"inadequate diet, which may occur in depressed individuals prescribed ssris is also associated with decreased bmd",,0.0,1.0,"inadequate diet, which may occur in depressed individuals prescribed ssris is also associated with decreased bmd"
495,495,shells of embryonated eggs,chlamydia-qpcr,chlamydia-qpcr determined that 97.6% of shells of embryonated eggs (287/294) from a breeding farm were,DOID:11263,0.0,0.0,chlamydia-qpcr determined that 97.6% of shells of embryonated eggs (287/294) from a breeding farm were
496,496,fish,cognitive decline,the correlation between a fish-oriented dietary intake (fdi) and the risk of cognitive decline,,0.0,0.0,the correlation between a fish-oriented dietary intake (fdi) and the risk of cognitive decline
497,497,soybean curd,cognitive impairment,an increased risk for cognitive impairment and other dementia markers with high tofu (soybean curd) intake,,1.0,0.0,an increased risk for cognitive impairment and other dementia markers with high tofu (soybean curd) intake
498,498,nuts,stroke,recent study confirmed the stroke preventive effect of a mediterranean diet rich in olive oil and nuts; a ketogenic diet reduces seizure,DOID:6713,0.0,1.0,recent study confirmed the stroke preventive effect of a mediterranean diet rich in olive oil and nuts; a ketogenic diet reduces seizure
499,499,garlic supplements,colorectal cancer,"that allium vegetables and garlic supplements might protect against colorectal cancer (crc), but epidemiologic studies have",DOID:9256,0.0,1.0,"that allium vegetables and garlic supplements might protect against colorectal cancer (crc), but epidemiologic studies have"
500,500,milk,osteoporosis,biologically active peptides in milk proteins can be used as effective dietary supplements for management of bone-associated issues including osteoporosis,DOID:11476,0.0,1.0,biologically active peptides in milk proteins can be used as effective dietary supplements for management of bone-associated issues including osteoporosis
501,501,diet,diabetes mellitus,adhering to the recommended diet is a common problem in individuals with diabetes mellitus (dm,DOID:9351,0.0,0.0,adhering to the recommended diet is a common problem in individuals with diabetes mellitus (dm
502,502,broccoli,cancers,"brassica species, and broccoli in particular, are associated with reduced risk of several important cancers",DOID:162,0.0,1.0,"brassica species, and broccoli in particular, are associated with reduced risk of several important cancers"
503,503,malnutrition,hypertension,the sex differences in malnutrition and hypertension during adolescence is largely inconclusive,DOID:10763,0.0,0.0,the sex differences in malnutrition and hypertension during adolescence is largely inconclusive
504,504,cigarette smoke,asthma,cigarette smoke and secondhand (passive) smoke have been causally related to asthma and lung cancer,DOID:2841,1.0,0.0,cigarette smoke and secondhand (passive) smoke have been causally related to asthma and lung cancer
505,505,olive oil,cognitive decline,"that higher consumption of olive oil was associated with lower risk of death, as well as protection from cognitive decline and stroke",,0.0,1.0,"that higher consumption of olive oil was associated with lower risk of death, as well as protection from cognitive decline and stroke"
506,506,chocolate,dental erosions,"potential predictors for dental erosions were: gender, age, chronic use of antidepressants and proton pump inhibitors (ppi), diabetes mellitus, body mass index, heartburn and acid regurgitation scores, chocolate intake, reflux esophagitis and hiatal",,0.0,0.0,"potential predictors for dental erosions were: gender, age, chronic use of antidepressants and proton pump inhibitors (ppi), diabetes mellitus, body mass index, heartburn and acid regurgitation scores, chocolate intake, reflux esophagitis and hiatal"
507,507,cocoa consumption,type diabetes,"regular cocoa consumption has been shown to improve blood pressure (bp), insulin sensitivity, and lipid levels in patients with type diabetes (t2d), using up to",DOID:9352,0.0,1.0,"regular cocoa consumption has been shown to improve blood pressure (bp), insulin sensitivity, and lipid levels in patients with type diabetes (t2d), using up to"
508,508,tea,pain,"in berries, curcumin, and tea have shown effects in ameliorating pain and inflammation in oa, but",,0.0,1.0,"in berries, curcumin, and tea have shown effects in ameliorating pain and inflammation in oa, but"
509,509,fruit,chronic diseases,"higher consumption of fruit and vegetables has been associated with a lower risk of various chronic diseases including coronary heart disease, obesity",,0.0,1.0,"higher consumption of fruit and vegetables has been associated with a lower risk of various chronic diseases including coronary heart disease, obesity"
510,510,garlic,"colon, lung, and skin cancers","dads), a component of garlic (allium sativum), has been known to exert potent chemopreventative activity against colon, lung, and skin cancers",,0.0,1.0,"dads), a component of garlic (allium sativum), has been known to exert potent chemopreventative activity against colon, lung, and skin cancers"
511,511,chicken,leukotoxin,leukotoxin purified with preparative sds-page was used for the production of chicken polyclonal antibodies (pab) that served,,0.0,0.0,leukotoxin purified with preparative sds-page was used for the production of chicken polyclonal antibodies (pab) that served
512,512,tea,diabetic,"though the diabetic cohort consumes a lower number of snacks and desserts, they consume a higher amount of sugar for tea",,0.0,0.0,"though the diabetic cohort consumes a lower number of snacks and desserts, they consume a higher amount of sugar for tea"
513,513,food consumption,obesity,"thus, having obesity was associated with altered relationships between food consumption and the hedonic responses to",DOID:9970,0.0,0.0,"thus, having obesity was associated with altered relationships between food consumption and the hedonic responses to"
514,514,p. cauliflora,skin irritations,"the fruits of p. cauliflora are used as food, and almost all parts of this species have long been used as a traditional brazilian medicine for the treatment of skin irritations, flu, diarrhea, labyrinthitis, genito-urinary problems",,0.0,1.0,"the fruits of p. cauliflora are used as food, and almost all parts of this species have long been used as a traditional brazilian medicine for the treatment of skin irritations, flu, diarrhea, labyrinthitis, genito-urinary problems"
515,515,coffee,alzheimer's disease,the protective effect of coffee on alzheimer's disease (ad,DOID:10652,0.0,1.0,the protective effect of coffee on alzheimer's disease (ad
516,516,diseased turkey,infectious bronchitis,"nucleocapsid (n) gene of infectious bronchitis virus (ibv) and turkey coronaviruses (tcov), coronaviruses were identified in 37% of the intestinal samples collected from diseased turkey flocks",,0.0,0.0,"nucleocapsid (n) gene of infectious bronchitis virus (ibv) and turkey coronaviruses (tcov), coronaviruses were identified in 37% of the intestinal samples collected from diseased turkey flocks"
517,517,curcuma longa,inflammatory diseases,"root of the plant curcuma longa, for treatment of different inflammatory diseases has been described in ayurveda",,0.0,1.0,"root of the plant curcuma longa, for treatment of different inflammatory diseases has been described in ayurveda"
518,518,chickpea flour,type diabetes mellitus,of guar gum and chickpea flour represents a promising approach to reduce the risk of type diabetes mellitus (t2dm) by attenuating postprandial,DOID:9352,0.0,1.0,of guar gum and chickpea flour represents a promising approach to reduce the risk of type diabetes mellitus (t2dm) by attenuating postprandial
519,519,flour,bronchitis,"symptoms suggestive of chronic bronchitis or chronic productive cough were found in 29.0% of workers exposed to flour dust in a flour mill, 26.0% presenting with chronic cough",DOID:6132,1.0,0.0,"symptoms suggestive of chronic bronchitis or chronic productive cough were found in 29.0% of workers exposed to flour dust in a flour mill, 26.0% presenting with chronic cough"
520,520,cocoa,insulin sensitivity,"and glucose: caffeine impairs insulin sensitivity, but polyphenolic molecules within tea, coffee, and cocoa augment the effects of insulin",,0.0,0.0,"and glucose: caffeine impairs insulin sensitivity, but polyphenolic molecules within tea, coffee, and cocoa augment the effects of insulin"
521,521,milk,caprine arthritis encephalitis virus (caev) infection,the exact influence of caprine arthritis encephalitis virus (caev) infection on blood and milk polymorphonuclear leukocytes (pmnls) and monocyte,,0.0,0.0,the exact influence of caprine arthritis encephalitis virus (caev) infection on blood and milk polymorphonuclear leukocytes (pmnls) and monocyte
522,522,shenzao jiannao oral liquid (szjn),insomnia,"shenzao jiannao oral liquid (szjn), a traditional chinese preparation approved by the china food and drug administration (cfda), is used for the treatment of insomnia and mind fatigue at present",,0.0,1.0,"shenzao jiannao oral liquid (szjn), a traditional chinese preparation approved by the china food and drug administration (cfda), is used for the treatment of insomnia and mind fatigue at present"
523,523,dioscorea,diabetes,"yam (dioscorea spp.), known as an edible and medicinal tuber crop in china, has been used historically for the treatment of diabetes, diarrhea, asthma, and other ailments",DOID:9351,0.0,1.0,"yam (dioscorea spp.), known as an edible and medicinal tuber crop in china, has been used historically for the treatment of diabetes, diarrhea, asthma, and other ailments"
524,524,aluminium,neurotoxin,"aluminium (al), a neurotoxin, has lately been implicated as",,0.0,0.0,"aluminium (al), a neurotoxin, has lately been implicated as"
525,525,added salt,rhythm disorders,"saturated fat, added salt, and excessive energy drink consumption appear to be harmful for patients with rhythm disorders",,1.0,0.0,"saturated fat, added salt, and excessive energy drink consumption appear to be harmful for patients with rhythm disorders"
526,526,green tea,infectious diseases,"phytochemicals contained mainly in green tea, exhibit antiviral activity against various acute infectious diseases experimentally",DOID:0050117,0.0,1.0,"phytochemicals contained mainly in green tea, exhibit antiviral activity against various acute infectious diseases experimentally"
527,527,ginger,obesity-related impairments,reports have shown that ginger and avocado induce antioxidant and anti-inflammatory effects by improving enzymatic activity and modulating obesity-related impairments in the anti-inflammatory system in,,0.0,1.0,reports have shown that ginger and avocado induce antioxidant and anti-inflammatory effects by improving enzymatic activity and modulating obesity-related impairments in the anti-inflammatory system in
528,528,shiitake mushrooms,flagellate dermatitis,flagellate dermatitis caused by the intake of shiitake mushrooms is characterized by linear erythematous,DOID:2723,1.0,0.0,flagellate dermatitis caused by the intake of shiitake mushrooms is characterized by linear erythematous
529,529,fruit,cardiovascular and cerebrovascular diseases,fruit and vegetable consumption was considered a protective effect against cardiovascular and cerebrovascular diseases (cvds,,0.0,1.0,fruit and vegetable consumption was considered a protective effect against cardiovascular and cerebrovascular diseases (cvds
530,530,sugar,obesity,habits contribute to the obesity pandemic and related cardiovascular diseases but the respective impact of high saturated fat versus added sugar consumption remains debated,DOID:9970,0.0,0.0,habits contribute to the obesity pandemic and related cardiovascular diseases but the respective impact of high saturated fat versus added sugar consumption remains debated
531,531,sugar,chronic diseases,"have shown that higher sugar-sweetened beverage consumption is associated with increased risk of developing chronic diseases, including cardiovascular disease, type diabetes",,1.0,0.0,"have shown that higher sugar-sweetened beverage consumption is associated with increased risk of developing chronic diseases, including cardiovascular disease, type diabetes"
532,532,ketogenic diet,epilepsy,"feasible treatment for intractable epilepsy, the ketogenic diet (kd) has recently gained popularity",DOID:1826,0.0,1.0,"feasible treatment for intractable epilepsy, the ketogenic diet (kd) has recently gained popularity"
533,533,ultra-processed foods,non-communicable diseases,"between the consumption of ultra-processed foods and a range of non-communicable diseases (ncds) such as obesity, type",,1.0,0.0,"between the consumption of ultra-processed foods and a range of non-communicable diseases (ncds) such as obesity, type"
534,534,fish oil,asthma,"interventions during pregnancy with fish oil and high dose vitamin d have been shown to reduce the incidence of asthma and wheeze in offspring, potentially",DOID:2841,0.0,1.0,"interventions during pregnancy with fish oil and high dose vitamin d have been shown to reduce the incidence of asthma and wheeze in offspring, potentially"
535,535,poor quality of the diets,anemia,"that in rural china, anemia stems from the poor quality of the diets of infants/toddlers, rather than",DOID:2355,1.0,0.0,"that in rural china, anemia stems from the poor quality of the diets of infants/toddlers, rather than"
536,536,tea consumption,postmenopausal osteoporosis,"tea consumption has positive effects on the skeletal system and prevents postmenopausal osteoporosis, mainly by inhibiting osteoclastogenesis",,0.0,1.0,"tea consumption has positive effects on the skeletal system and prevents postmenopausal osteoporosis, mainly by inhibiting osteoclastogenesis"
537,537,garlic,cancer,"allium family, such as garlic and onions, is associated with a decreased risk of cancer in humans",,0.0,1.0,"allium family, such as garlic and onions, is associated with a decreased risk of cancer in humans"
538,538,eggplant,oral ulcers,"reported as triggers for oral ulcers were eggplant (78.3%), melon (68.3%), walnut (68.2%), and cantaloupe",DOID:9663,1.0,0.0,"reported as triggers for oral ulcers were eggplant (78.3%), melon (68.3%), walnut (68.2%), and cantaloupe"
539,539,ginger,hyperlipidemia,"ginger (zingiber officinale roscoe, zingiberaceae) has been documented to ameliorate hyperlipidemia, hyperglycemia, oxidative stress, and inflammation",,0.0,1.0,"ginger (zingiber officinale roscoe, zingiberaceae) has been documented to ameliorate hyperlipidemia, hyperglycemia, oxidative stress, and inflammation"
540,540,olive oil,ad,"ht), a polyphenol in olive oil, at a daily dietary level mildly improves cognition in ad mice",,0.0,1.0,"ht), a polyphenol in olive oil, at a daily dietary level mildly improves cognition in ad mice"
541,541,fb1-contaminated corn,neural tube defects,between maternal ingestion of fb1-contaminated corn during early pregnancy and increased risk for neural tube defects (ntds) has recently been proposed,DOID:0080074,1.0,0.0,between maternal ingestion of fb1-contaminated corn during early pregnancy and increased risk for neural tube defects (ntds) has recently been proposed
542,542,available drugs,osteoarthritis,"osteoarthritis (oa) is a leading cause of physical disability among aging populations, with no available drugs able to efficiently restore the",DOID:8398,0.0,0.0,"osteoarthritis (oa) is a leading cause of physical disability among aging populations, with no available drugs able to efficiently restore the"
543,543,sucrose,diabetes,"to high level of sucrose, could lead to diabetes and tooth decay among children",DOID:9351,1.0,0.0,"to high level of sucrose, could lead to diabetes and tooth decay among children"
544,544,diet,cardiovascular disease,"levels, different response to diet and lipid-lowering therapy, and a variable risk for cardiovascular disease and alzheimer's disease",,0.0,0.0,"levels, different response to diet and lipid-lowering therapy, and a variable risk for cardiovascular disease and alzheimer's disease"
545,545,grape extract (ge),lifestyle-related diseases,"grape extract (ge), which contains various polyphenolic compounds, exerts protective effects against lifestyle-related diseases, such as diabetes and hypertension",,0.0,1.0,"grape extract (ge), which contains various polyphenolic compounds, exerts protective effects against lifestyle-related diseases, such as diabetes and hypertension"
546,546,flour,asthmatic reactions,"by ""occupational"" exposure to flour provoked dual asthmatic reactions accompanied by rhinitis in two",,1.0,0.0,"by ""occupational"" exposure to flour provoked dual asthmatic reactions accompanied by rhinitis in two"
547,547,processed foods,hypertension,increased consumption of processed foods in the modern world has contributed to a high salt intake and thus increased the prevalence of hypertension among malaysian populations,DOID:10763,1.0,0.0,increased consumption of processed foods in the modern world has contributed to a high salt intake and thus increased the prevalence of hypertension among malaysian populations
548,548,turkey,infectious bronchitis,"within the genus gammacoronavirus, infectious bronchitis virus (ibv) and turkey coronavirus (tcov",,0.0,0.0,"within the genus gammacoronavirus, infectious bronchitis virus (ibv) and turkey coronavirus (tcov"
549,549,coffee,neurodegenerative diseases,"that some foods, especially coffee, can act as a rich source of beta-carbolines, which may possibly be associated with a reduced risk for serious neurodegenerative diseases, such as parkinson's and alzheimer's",DOID:1289,0.0,1.0,"that some foods, especially coffee, can act as a rich source of beta-carbolines, which may possibly be associated with a reduced risk for serious neurodegenerative diseases, such as parkinson's and alzheimer's"
550,550,symptomatic slow-acting drugs,osteoarthritis,glucosamine and chondroitin as symptomatic slow-acting drugs for osteoarthritis (sysadoas) with impact on oa,DOID:8398,0.0,1.0,glucosamine and chondroitin as symptomatic slow-acting drugs for osteoarthritis (sysadoas) with impact on oa
551,551,dairy,mastitis,bovine mastitis continues to be a leading cause of heavy economic losses in the dairy industry and a public health,DOID:10690,0.0,0.0,bovine mastitis continues to be a leading cause of heavy economic losses in the dairy industry and a public health
552,552,beans,diabetes,vegetables and beans are nutrient-dense foods with innate potential to mediate diabetes in a variety of cultures,DOID:9351,0.0,1.0,vegetables and beans are nutrient-dense foods with innate potential to mediate diabetes in a variety of cultures
553,553,cocoa polyphenols,metabolic disturbances,cocoa polyphenols exhibit high antioxidant activity and have been proposed as a potential adjuvant for the treatment of metabolic disturbances,,0.0,1.0,cocoa polyphenols exhibit high antioxidant activity and have been proposed as a potential adjuvant for the treatment of metabolic disturbances
554,554,nuts,chronic disease,"fruits, vegetables, whole grains, nuts, and legumes has been recommended for chronic disease prevention, it has been unclear",,0.0,1.0,"fruits, vegetables, whole grains, nuts, and legumes has been recommended for chronic disease prevention, it has been unclear"
555,555,lower water and food intake,respiratory system disorders,"apathy, lower water and food intake, respiratory system disorders and a total mortality of",,0.0,0.0,"apathy, lower water and food intake, respiratory system disorders and a total mortality of"
556,556,extra virgin olive oil,glycemia,"oleuropein, a component of extra virgin olive oil (evoo), reduces post-prandial glycemia with a mechanism counteracting oxidative",,0.0,1.0,"oleuropein, a component of extra virgin olive oil (evoo), reduces post-prandial glycemia with a mechanism counteracting oxidative"
557,557,fruits,cvd,"cvd can be prevented by some simple and cost-effective steps such as smoking cessation, normalizing body weight, regular physical activity, and dietary changes, including decreasing saturated fats, increasing the intake of vegetables and fruits, and reducing sugar intake",,0.0,1.0,"cvd can be prevented by some simple and cost-effective steps such as smoking cessation, normalizing body weight, regular physical activity, and dietary changes, including decreasing saturated fats, increasing the intake of vegetables and fruits, and reducing sugar intake"
558,558,fruit,mental disorders,"shown the effect of fruit and vegetable intake on mental disorders in mexican americans, for whom",,0.0,0.0,"shown the effect of fruit and vegetable intake on mental disorders in mexican americans, for whom"
559,559,curcuma longa,neurodegenerative diseases,"been investigated, where curcumin (curcuma longa) has shown some properties that can prevent the deleterious processes involved in neurodegenerative diseases",DOID:1289,0.0,1.0,"been investigated, where curcumin (curcuma longa) has shown some properties that can prevent the deleterious processes involved in neurodegenerative diseases"
560,560,tomato fruit,memory impairment,"the surface wax of tomato fruit and dandelion coffee, is previously reported to ameliorate memory impairment induced by cholinergic dysfunction",,0.0,1.0,"the surface wax of tomato fruit and dandelion coffee, is previously reported to ameliorate memory impairment induced by cholinergic dysfunction"
561,561,chicken,amd,for the detection of amd in chicken by employing mbs as solid,,0.0,0.0,for the detection of amd in chicken by employing mbs as solid
562,562,pharmaceutical drugs,hyperuricemia,"while pharmaceutical drugs have been shown to exhibit serious side effects, and bioactive compounds from plant-based functional foods have been demonstrated to be active in the treatment of hyperuricemia with only minimal side effects",DOID:1920,0.0,0.0,"while pharmaceutical drugs have been shown to exhibit serious side effects, and bioactive compounds from plant-based functional foods have been demonstrated to be active in the treatment of hyperuricemia with only minimal side effects"
563,563,diet,food allergy,"the steep rise in food allergy (fa) has evoked environmental factors involved in disease pathogenesis, including the gut microbiota, diet, and their metabolites",,0.0,0.0,"the steep rise in food allergy (fa) has evoked environmental factors involved in disease pathogenesis, including the gut microbiota, diet, and their metabolites"
564,564,zinc,fracture,"g., calcium, magnesium, potassium, zinc, phosphorus, and protein) per unit of energy than any other food group, the relevance of dairy products for long-term bone health and fracture prevention has resurged as some observational studies have suggested consumption to be associated with a greater risk of fracture",,0.0,0.0,"g., calcium, magnesium, potassium, zinc, phosphorus, and protein) per unit of energy than any other food group, the relevance of dairy products for long-term bone health and fracture prevention has resurged as some observational studies have suggested consumption to be associated with a greater risk of fracture"
565,565,sodium-glucose cotransporter (sglt2),t2dm,"outcomes among patients with t2dm have clearly shown that sodium-glucose cotransporter (sglt2) inhibitors, such as empagliflozin, canagliflozin",,0.0,0.0,"outcomes among patients with t2dm have clearly shown that sodium-glucose cotransporter (sglt2) inhibitors, such as empagliflozin, canagliflozin"
566,566,curcuma longa,rheumatoid arthritis,curcuma longa (cl) or turmeric is an ayurvedic herb that has been traditionally used to treat inflammatory conditions like rheumatoid arthritis (ra,DOID:7148,0.0,1.0,curcuma longa (cl) or turmeric is an ayurvedic herb that has been traditionally used to treat inflammatory conditions like rheumatoid arthritis (ra
567,567,red wine,cognitive decline,to the protection against cognitive decline associated with aging and disease by a number of polyphenols found in red wine and extra virgin olive oil,,0.0,1.0,to the protection against cognitive decline associated with aging and disease by a number of polyphenols found in red wine and extra virgin olive oil
568,568,mediterranean diet,sci,"the mediterranean diet, along with exercise and dietary supplements, has been suggested as an anti-inflammatory intervention in individuals with sci",,0.0,1.0,"the mediterranean diet, along with exercise and dietary supplements, has been suggested as an anti-inflammatory intervention in individuals with sci"
569,569,extra virgin olive oil,joint inflammatory diseases,"recently, oleocanthal isolated from extra virgin olive oil was found to display nonsteroidal antiinflammatory drug activity similar to that of ibuprofen, a drug widely used in the therapeutic management of joint inflammatory diseases",,0.0,1.0,"recently, oleocanthal isolated from extra virgin olive oil was found to display nonsteroidal antiinflammatory drug activity similar to that of ibuprofen, a drug widely used in the therapeutic management of joint inflammatory diseases"
